packet-type, device-id, accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z,lap,special tag,,
8,44,-0.732421875,1.10546875,0.217773438,136.01,-121.94,136.5,130.5,-53.2,61.9,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.686523438,1.014648438,0.107421875,80.71,-94.08,150.22,132.8,-50.5,69.5,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.376953125,0.376953125,0.189453125,-2.87,37.59,117.04,122.7,-60.3,72.2,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.415039063,0.434570313,0.138671875,10.71,20.86,137.62,122.7,-60.3,72.2,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.340820313,0.317382813,0.33203125,4.76,77.7,45.64,122.7,-60.3,72.2,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.409179688,0.243164063,0.51171875,-5.95,95.62,-45.57,111.8,-66,72.7,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.436523438,0.352539063,0.4609375,-12.32,102.55,-70.14,111.8,-66,72.7,1.39311E+12,1,none,Sat Feb 22 2014 17:13:33 GMT-0500 (EST)
8,44,-0.547851563,0.421875,0.756835938,-15.19,104.72,-118.23,111.1,-66.4,68.3,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.591796875,0.485351563,0.8671875,-28.91,101.99,-140.49,111.1,-66.4,68.3,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.547851563,0.421875,0.756835938,-15.19,104.72,-118.23,111.1,-66.4,68.3,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.766601563,0.620117188,0.856445313,-61.6,83.86,-172.41,111.1,-66.4,68.3,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.766601563,0.620117188,0.856445313,-61.6,83.86,-172.41,111.1,-66.4,68.3,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.876953125,0.643554688,0.954101563,-63.98,64.19,-181.09,111.1,-66.4,68.3,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-1.108398438,1.036132813,0.88671875,-63,-27.44,-159.04,120.4,-61.2,64.4,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.932617188,0.71484375,1,-61.81,39.41,-185.36,120.4,-61.2,64.4,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-1.09765625,0.995117188,0.77734375,-55.09,-51.03,-137.41,120.4,-61.2,64.4,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-1.108398438,1.036132813,0.88671875,-63,-27.44,-159.04,120.4,-61.2,64.4,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-1.091796875,0.96875,0.678710938,-12.25,-72.38,-100.31,120.4,-61.2,64.4,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-1.094726563,0.947265625,0.610351563,62.44,-99.12,-54.11,132.6,-50.3,64.1,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-1.01171875,1.015625,0.604492188,137.41,-130.55,17.08,132.6,-50.3,64.1,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.889648438,1.041992188,0.37109375,143.99,-150.99,103.74,132.6,-50.3,64.1,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
8,44,-0.780273438,1.006835938,0.225585938,107.38,-141.89,132.23,135.8,-46.4,70.7,1.39311E+12,1,none,Sat Feb 22 2014 17:13:34 GMT-0500 (EST)
