packet-type, device-id, accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z,lap,special tag,,
8,44,0.287109375,-0.927734375,0.25,-0.49,9.59,-3.29,55.3,27.1,49.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.276367188,-0.948242188,0.283203125,2.1,10.64,-1.26,55.3,27.1,49.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.28125,-0.952148438,0.30859375,7.07,12.46,0.77,55.3,27.1,49.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.279296875,-0.950195313,0.369140625,25.62,21.07,6.79,55.3,27.1,49.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.279296875,-0.950195313,0.369140625,25.62,21.07,6.79,55.3,27.1,49.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.294921875,-0.765625,0.422851563,28.56,42.7,-4.69,54.7,27,49.7,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.28515625,-0.70703125,0.38671875,15.47,43.75,-25.2,54.4,28.3,53.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.27734375,-0.745117188,0.397460938,22.19,45.08,-15.05,54.7,27,49.7,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.268554688,-0.6875,0.315429688,11.9,39.2,-37.45,54.4,28.3,53.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.266601563,-0.60546875,0.22265625,11.83,31.08,-55.93,54.4,28.3,53.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.254882813,-0.553710938,0.189453125,13.37,16.1,-71.12,54.4,28.3,53.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.266601563,-0.557617188,0.172851563,18.41,0.07,-88.55,54.4,28.3,53.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
8,44,0.264648438,-0.599609375,0.142578125,24.85,-30.59,-116.83,52.1,26.8,55.2,1.3931E+12,1,none,Sat Feb 22 2014 15:51:16 GMT-0500 (EST)
